video,pid,n_segmentos,n_risa,porcentaje_risa
vid2_seg7,1,119,0,0.0
vid2_seg7,4,119,0,0.0
vid2_seg7,5,119,0,0.0
vid2_seg7,6,119,0,0.0
vid2_seg7,7,119,0,0.0
vid2_seg7,8,119,0,0.0
vid2_seg7,9,119,0,0.0
vid2_seg7,10,119,0,0.0
vid2_seg7,12,119,0,0.0
vid2_seg7,16,119,0,0.0
vid2_seg7,18,119,0,0.0
vid2_seg7,19,119,0,0.0
vid2_seg7,22,119,0,0.0
vid2_seg7,25,119,0,0.0
vid2_seg7,28,119,1,0.008403361344537815
vid2_seg7,31,119,0,0.0
vid2_seg7,33,119,0,0.0
vid2_seg8,1,119,16,0.13445378151260504
vid2_seg8,3,119,0,0.0
vid2_seg8,4,119,0,0.0
vid2_seg8,5,119,0,0.0
vid2_seg8,6,119,0,0.0
vid2_seg8,7,119,0,0.0
vid2_seg8,9,119,0,0.0
vid2_seg8,10,119,0,0.0
vid2_seg8,11,119,0,0.0
vid2_seg8,12,119,0,0.0
vid2_seg8,15,119,1,0.008403361344537815
vid2_seg8,16,119,0,0.0
vid2_seg8,18,119,0,0.0
vid2_seg8,20,119,0,0.0
vid2_seg8,21,119,0,0.0
vid2_seg8,22,119,1,0.008403361344537815
vid2_seg8,23,119,0,0.0
vid2_seg8,24,119,0,0.0
vid2_seg8,25,119,5,0.04201680672268908
vid2_seg8,26,119,0,0.0
vid2_seg8,27,119,0,0.0
vid2_seg8,28,119,1,0.008403361344537815
vid2_seg8,29,119,0,0.0
vid2_seg8,30,119,0,0.0
vid2_seg8,31,119,0,0.0
vid2_seg8,32,119,1,0.008403361344537815
vid2_seg8,33,119,0,0.0
vid2_seg8,35,119,0,0.0
